categories,subcategories,bedrooms,bathrooms,building_size,land_size,num_floors,furnished,geo_point,page_url,parent_url,ac_unit,balcony,yard,security,pool,price
house,"[""house"",""single-family-house""]",2,1,27.0,40.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/cuma-150-jt-surat-shm-bebas-banjir-170330261929.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,yes,,yes,yes,,150000000
house,"[""house"",""single-family-house""]",2,1,60.0,128.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/sawangan-puri-bali-luas-128-dekat-mall-the-park-169105286917.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,,,,950000000
house,"[""house"",""single-family-house""]",2,1,36.0,60.0,,,"[106.78889,-6.43778]",https://www.lamudi.co.id/rumah-design-mezzanine-depok-dekat-gdc-hanya-13-me-170962389196.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,yes,yes,,385000000
house,"[""house"",""single-family-house""]",5,5,160.0,196.0,,,"[106.808195,-6.394443]",https://www.lamudi.co.id/rumah-asri-dan-nyaman-dijual-dibelakang-kampus-ui-170521819621.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,,,,2200000000
house,"[""house"",""single-family-house""]",1,1,30.0,30.0,1.0,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-100-juta-dijual-cepat-di-sawangan-depok-170951506198.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,100000000
house,"[null,""house""]",3,2,60.0,72.0,,,null,https://www.lamudi.co.id/bebas-banjir-eropa-classic-dekat-pintu-tol-cibubur-1.html,https://www.lamudi.co.id/west-java/depok/sukmajaya/house/buy/,yes,,yes,,yes,650000000
house,"[""house"",""single-family-house""]",3,3,150.0,223.0,,,"[106.795708,-6.407037]",https://www.lamudi.co.id/perumahan-depok-maharaja-j-13762-170290062736.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,,,,1720000000
house,"[""house"",""single-family-house""]",3,2,97.0,63.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/rumah-konsep-bali-tropis-modern-sangat-strategis-d-17002240216.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,,,,773500000
house,"[null,""house""]",3,2,60.0,72.0,,,null,https://www.lamudi.co.id/woow-eropa-classic-dekat-pintu-tol-cibubur-37.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,yes,,yes,,yes,650000000
house,"[""house"",""single-family-house""]",2,2,50.0,90.0,,,"[106.84333,-6.42694]",https://www.lamudi.co.id/take-over-rumah-cilodong-depok-dp120jt-lokasi-stra-169811843319.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,yes,,,,,750000000
house,"[""house"",""single-family-house""]",3,4,200.0,188.0,2.0,,"[106.78229,-6.34386]",https://www.lamudi.co.id/nego-rumah-baru-minimalis-dalam-komplek-asri-dekat-169390983375.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,yes,yes,yes,,2500000000
house,"[""house"",""single-family-house""]",2,2,60.0,32.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/rumah-cimanggis-murah-dekat-tol-ala-eropa-169625696514.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,yes,,,620000000
house,"[""house"",""townhouse""]",2,1,42.0,53.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/hunian-murah-di-sawangan-kota-depok-17104260779.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,yes,,yes,yes,,390000000
house,"[""house"",""townhouse""]",2,2,60.0,45.0,,,"[106.77956,-6.3912]",https://www.lamudi.co.id/rumah-siap-huni-dekat-pintu-tol-depok-170712473743.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,yes,yes,yes,yes,,695000000
house,"[""house"",""single-family-house""]",3,2,71.0,94.0,,,"[106.84333,-6.42694]",https://www.lamudi.co.id/rumah-model-scandinavian-2-lantai-deket-stasiun-di-169625780433.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,,,yes,,,874500000
house,"[""house"",""single-family-house""]",2,1,45.0,94.0,,,"[106.808195,-6.394443]",https://www.lamudi.co.id/rumah-siap-huni-perumahan-dg-lingkungan-asri-170606328472.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,yes,yes,,850000000
house,"[""house"",""single-family-house""]",2,1,30.0,61.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/rumah-tanpa-dp-cukup-1-juta-all-in-170944260628.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,,,yes,yes,,400000000
house,"[""house"",""single-family-house""]",4,2,72.0,133.0,,,"[106.808195,-6.394443]",https://www.lamudi.co.id/rumah-modern-dalam-komplek-ternama-di-pancoran-mas-170564906923.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,,,,950000000
house,"[""house"",""townhouse""]",2,1,36.0,60.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/rumah-murah-minimalis-mutiara-citayam-dekat-stasiu-170021648879.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,,,yes,yes,,380400000
house,"[""house"",""single-family-house""]",5,2,158.0,191.0,,,"[106.81139,-6.38417]",https://www.lamudi.co.id/rumah-gede-tanah-luas-5-kamar-di-beji-depok-deket-169960207276.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,,,,,2680000000
house,"[""house"",""single-family-house""]",3,2,80.0,83.0,2.0,,"[106.81312,-6.42544]",https://www.lamudi.co.id/jual-murah-rumah-di-permata-depok-dekat-stasiun-bi-169079363111.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,yes,yes,,700000000
house,"[""house"",""single-family-house""]",2,1,45.0,70.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-kpr-didepok-modern-dp-0-169693005233.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,yes,,,,,400000000
house,"[""house"",""single-family-house""]",2,1,60.0,78.0,,,"[106.84333,-6.42694]",https://www.lamudi.co.id/hunian-one-gate-sistem-pekapuran-cimanggis-depok-169627176628.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,,,yes,,,579000009
