lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
depok,2,1,45.0,84.0,no,yes,no,no,853000000
cinere,3,2,90.0,96.0,yes,yes,yes,yes,1100000000
bojongsari,2,2,40.0,53.0,yes,yes,yes,no,569320000
cimanggis,3,1,96.0,47.0,no,no,no,no,600000000
pancoran mas,3,2,60.0,60.0,no,yes,no,no,742350000
sawangan,3,2,60.0,75.0,no,no,no,no,754245776
sawangan,2,1,36.0,60.0,no,no,no,no,365000000
bojongsari,3,3,97.0,107.0,yes,yes,yes,no,1624000000
beji,2,2,70.0,100.0,no,no,no,no,900000000
cinere,4,3,110.0,93.0,yes,no,no,no,1300000000
beji,3,3,120.0,66.0,no,no,no,yes,1380000000
cipayung,2,1,45.0,73.0,no,yes,no,no,592150000
sawangan,2,1,42.0,52.0,no,yes,no,yes,387000000
depok,3,3,100.0,98.0,no,no,no,no,1080000000
tapos,3,2,70.0,68.0,no,no,no,no,1176500000
cipayung,2,1,50.0,69.0,yes,yes,no,no,660000000
beji,2,2,55.0,45.0,yes,yes,no,no,750000000
cipayung,2,1,48.0,78.0,no,yes,no,no,535000000
bojongsari,2,1,36.0,65.0,no,no,no,no,582000000
beji,4,4,130.0,98.0,yes,yes,yes,no,1495000000
pancoran mas,3,3,81.0,58.0,yes,no,no,no,949940000
cilodong,2,1,45.0,125.0,no,no,no,no,625000000
sukmajaya,3,2,55.0,60.0,no,no,no,no,789750000
cilodong,3,3,80.0,80.0,yes,yes,yes,no,925000000
beji,3,2,85.0,133.0,yes,no,no,no,1560000000
cimanggis,3,2,76.0,80.0,yes,yes,yes,yes,890000000
cilodong,3,3,80.0,92.0,no,yes,no,yes,985000000
pancoran mas,3,2,84.0,68.0,no,yes,yes,yes,825000000
cinere,2,1,90.0,100.0,no,no,no,yes,1500000000
cilodong,2,2,60.0,90.0,yes,yes,no,yes,681000000
cilodong,2,1,45.0,80.0,no,no,no,no,690000000
pancoran mas,3,2,60.0,66.0,yes,yes,no,no,896000000
cimanggis,3,2,68.0,78.0,no,no,no,no,799000000
beji,3,2,80.0,60.0,no,no,no,no,1050500000
depok,3,2,100.0,50.0,no,no,no,no,625000000
bojongsari,3,3,136.0,112.0,yes,yes,yes,no,1900000000
cimanggis,2,1,47.0,77.0,no,yes,no,no,699000000
sawangan,3,3,100.0,65.0,yes,yes,yes,no,945000000
pancoran mas,2,1,45.0,70.0,no,yes,no,no,495000000
sukmajaya,2,1,48.0,84.0,yes,yes,no,no,781000000
sukmajaya,2,1,40.0,90.0,no,yes,no,yes,670000000
limo,2,1,45.0,73.0,yes,yes,no,no,654500000
bojongsari,3,2,70.0,94.0,no,no,no,no,769000000
tapos,3,2,60.0,50.0,yes,yes,yes,no,800000000
beji,3,2,56.0,82.0,yes,yes,yes,yes,823000000
cilodong,3,3,80.0,72.0,no,no,no,no,875000000
depok,3,3,75.0,76.0,yes,yes,yes,yes,930000000
tapos,3,2,60.0,56.0,yes,no,yes,no,790000000
sukmajaya,3,2,121.0,60.0,no,no,no,no,775000000
depok,2,1,48.0,60.0,no,no,no,no,520000000
sawangan,3,2,60.0,60.0,no,no,no,no,755000000
cimanggis,3,2,51.0,72.0,yes,yes,yes,no,907250000
cilodong,2,1,38.0,60.0,no,no,no,no,650000000
cilodong,2,1,36.0,90.0,no,no,no,no,810000000
cipayung,2,1,35.0,50.0,no,no,no,no,230000000
pancoran mas,3,3,140.0,113.0,yes,yes,yes,no,1660000000
cilodong,3,3,80.0,72.0,yes,yes,yes,yes,898000000
tapos,3,2,74.0,62.0,no,no,no,yes,890000000
pancoran mas,2,1,45.0,63.0,yes,no,no,no,570000000
cinere,4,3,155.0,84.0,yes,yes,yes,no,1720000000
depok,2,2,90.0,60.0,yes,yes,no,no,999000000
beji,3,2,100.0,95.0,no,no,no,no,1112000000
pancoran mas,3,2,80.0,102.0,no,no,no,yes,420000000
cinere,3,2,56.0,68.0,yes,yes,yes,yes,779000000
cilodong,2,2,60.0,82.0,yes,yes,no,no,685000000
pancoran mas,2,1,45.0,60.0,no,yes,no,yes,525000000
bojongsari,2,1,42.0,74.0,no,no,no,no,655000000
limo,2,1,45.0,73.0,no,yes,no,no,592150000
sawangan,3,2,44.0,50.0,no,yes,no,no,533000000
limo,3,3,100.0,107.0,no,yes,no,yes,1600000000
cilodong,2,2,60.0,70.0,no,yes,no,no,735000000
sawangan,2,1,45.0,83.0,no,no,no,no,510000000
cimanggis,2,2,54.0,72.0,no,no,no,no,853000000
beji,3,3,65.0,96.0,no,yes,no,yes,1050000000
sawangan,3,2,70.0,50.0,yes,yes,no,no,695000000
beji,2,1,36.0,60.0,no,no,no,yes,247000000
cimanggis,2,1,48.0,84.0,no,no,no,no,850000000
pancoran mas,4,3,98.0,96.0,yes,yes,no,no,1399000000
sawangan,3,2,44.0,60.0,no,no,no,yes,494000000
cimanggis,3,2,69.0,60.0,yes,yes,yes,no,791000000
tapos,2,2,135.0,90.0,yes,yes,yes,no,1100000000
cilodong,3,2,66.0,68.0,no,no,no,no,827000000
cimanggis,2,2,65.0,56.0,no,no,no,no,800000000
sukmajaya,2,2,51.0,71.0,yes,yes,yes,yes,886000000
tapos,2,2,42.0,40.0,yes,yes,no,no,400000000
beji,4,4,120.0,98.0,no,yes,no,no,1495000000
pancoran mas,2,2,58.0,50.0,no,yes,no,no,1200000000
cinere,4,3,78.0,77.0,yes,yes,yes,no,929000000
