"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_fully_furnished","rumah_luas_bangunan","rumah_AC","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_jumlah_lantai"
"https://www.lamudi.co.id/ha112-rumah-2-lt-samping-pintu-tol-cisalak-hrg-mul-166959875942.html","HA112.Rumah 2 LT Samping Pintu Tol Cisalak Hrg Mulai 800Jtan Cimanggis","Cimanggis Depok Cimanggis, Depok","Rp 859.250.000","66","1","2","2","","51","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-strategis-dekat-mrt-lebak-bulus-grab-167095415075.html","Dijual Rumah Strategis Dekat MRT Lebak Bulus Grab","Limo, Depok","Rp 1.800.000.000","95","","3","2","","105","","yes","yes","","",""
"https://www.lamudi.co.id/hunian-asri-2-lantai-termurah-sekota-depok-tanpa-d-167204053047.html","Hunian Asri 2 Lantai Termurah Sekota Depok Tanpa DP","Jalan Panggulan, Depok 16518, Indonesia Pengasinan, Depok","Rp 449.000.000","50","1","3","2","","44","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-harga-paling-murah-di-kota-de-167204108025.html","Rumah Mewah 2 Lantai Harga Paling Murah di Kota Depok","Jalan Panggulan, Depok 16518, Indonesia Pengasinan, Depok","Rp 476.500.000","55","1","3","2","","44","yes","","yes","","",""
"https://www.lamudi.co.id/minimalis-cantik-cocok-utk-milenial-166770349731.html","Minimalis Cantik cocok utk milenial","Jalan Kedaung Tirta Grand Depok City Depok, Depok","Rp 887.250.000","66","1","3","3","","66","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-asri-dalam-komplek-area-cinere-167092491486.html","Rumah mewah asri dalam komplek area cinere","Cinere, Depok","Rp 13.000.000.000","1000","","5","5","","592","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/op62-cluster-exclusive-scandinavian-hrg-perdana-67-166756662669.html","Op62.Cluster Exclusive Scandinavian Hrg Perdana 675Jt Promo Free biaya","sawangan depok Sawangan, Depok","Rp 675.000.000","72","2","3","2","","70","","","","","",""
"https://www.lamudi.co.id/rumah-modern-2-lantai-paling-dicari-166583420360.html","Rumah modern 2 lantai paling dicari","Sukmajaya, Depok","Rp 915.000.000","71","","3","3","","80","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-2-lantai-cluster-gaya-bali-cilodong-kota-dep-165908131321.html","Rumah 2 Lantai Cluster Gaya Bali, Cilodong Kota Depok, Harga Sudah All","Cilodong, Depok","Rp 599.900.000","60","","3","2","","54","","yes","","","",""
"https://www.lamudi.co.id/op94-hunian-cantik-strategis-dkt-lebak-bulus-dan-f-166964720319.html","Op94.Hunian cantik strategis Dkt Lebak Bulus dan Fatmawati di Cinere","Cinere dkt ke Lebak Bulus dan fatmatai dan Dkt ke Mall Cinere Cinere, Depok","Rp 2.350.000.000","132","1","5","3","","160","","","","","",""
