"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_keamanan","rumah_lahan_parkir","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/jangan-ditunda-lagi-cash-kpr-kita-bantu-sampai-aka-16655780990.html","jangan ditunda lagi,cash & KPR kita bantu sampai Akad","Kalimulya, Depok","Rp 651.000.000","2","2","60","87","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/booking-4-juta-langsung-akad-lokasi-selangkah-ke-j-166564228711.html","booking 4 juta langsung Akad,lokasi selangkah ke jalan raya","Sukmajaya, Depok","Rp 898.000.000","3","3","80","75","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-tinggal-bawa-koper-aj-166582343666.html","Rumah siap huni,tinggal bawa koper aj","Kalimulya, Depok","Rp 651.000.000","2","2","60","87","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/hunian-paling-dicari-kaum-urban-lokasi-dialun-alun-166588876669.html","Hunian paling dicari kaum urban,lokasi dialun-alun Depok","Cilodong, Depok","Rp 1.050.000.000","3","3","80","78","","yes","yes","","yes","","",""
"https://www.lamudi.co.id/cukup-booking-langsung-akad-166618065040.html","cukup booking langsung akad","Cilodong, Depok","Rp 1.050.000.000","3","3","120","89","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/promo-launching-perdana-dp-0-166618119075.html","promo launching perdana DP 0","Cilodong, Depok","Rp 735.000.000","2","2","60","72","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-cocok-buat-keluarga-besar-166632002773.html","Hunian 2 lantai cocok buat keluarga besar","Sukmajaya, Depok","Rp 900.000.000","3","3","80","75","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/tinggal-bawa-koper-rumah-untuk-anak-istri-16663435815.html","Tinggal bawa koper,rumah untuk anak istri","Kalimulya, Depok","Rp 684.000.000","2","2","60","90","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/beli-rumah-banyak-promonya-166636109635.html","beli rumah banyak promonya","Kalimulya, Depok","Rp 650.000.000","2","2","60","87","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-istimewa-untuk-istri-tercinta-166683235115.html","Rumah istimewa untuk istri tercinta","Kalimulya, Depok","Rp 647.000.000","2","2","60","87","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/tinggal-1-unit-lagi-booking-sekarang-166728037163.html","tinggal 1 unit lagi, booking sekarang","Cilodong, Depok","Rp 922.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/promo-spektakuler-dibulan-november-166763536014.html","promo spektakuler dibulan November","Kalimulya, Depok","Rp 651.000.000","2","2","60","87","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/nol-dp-0-rumah-siap-huni-free-biaya-surat-surat-dl-166787943063.html","Nol DP 0 %,Rumah siap huni free biaya surat surat dll","Kalimulya, Depok","Rp 645.000.000","2","2","60","87","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-luas-banget-dikota-depok-166816052332.html","Rumah luas banget dikota depok","Kalimulya, Depok","Rp 799.000.000","2","2","70","120","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/promo-akhir-tahun-booking-4-juta-langsung-akad-166832489040.html","promo akhir tahun, booking 4 juta langsung Akad","Cilodong, Depok","Rp 670.000.000","2","1","45","94","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/dijual-cepat-rumah-baru-gk-pake-dp-166832527342.html","dijual cepat rumah baru,gk pake DP","Cilodong, Depok","Rp 682.000.000","2","2","60","82","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/beli-rumah-mewah-sekarang-dipusat-kota-166850336246.html","BELI RUMAH MEWAH SEKARANG DIPUSAT KOTA","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/beli-rumah-dekat-jakarta-166946695186.html","BELI RUMAH DEKAT JAKARTA","Cilodong, Depok","Rp 850.000.000","3","3","80","68","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/promo-akhir-tahun-dp-0-dan-free-biaya-biaya-kpr-166953560795.html","Promo akhir tahun,DP 0 % dan free biaya biaya KPR","Margonda, Depok","Rp 850.000.000","3","3","80","68","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/mewah-dan-luas-lokasi-dipinggir-jalan-raya-166960189024.html","Mewah dan luas,lokasi dipinggir jalan raya","Sukmajaya, Depok","Rp 1.050.000.000","3","3","120","86","yes","yes","yes","","yes","","",""
