"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_AC","rumah_keamanan","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/cluster-khanza-residence-masih-promo-2-unit-promo-rp-275jt-type-40-60.html","CLUSTER KHANZA RESIDENCE MASIH PROMO 2 UNIT PROMO Rp 275jt type 40/60","Sawangan, Depok","Rp 335.000.000","60","4","2","1","40","yes","","yes","","","",""
"https://www.lamudi.co.id/kk139-rumah-second-1-lt-luas-154-lokasi-belakang-u-16680890727.html","kk139.Rumah Second 1 Lt Luas 154 Lokasi Belakang UI di Kukusan Beji","Kukusan Beji Depok Kukusan, Depok","Rp 1.000.000.000","154","","3","2","100","","","","","","",""
"https://www.lamudi.co.id/hunian-strategis-500-jutaan-siap-huni-seberang-tol-sawangan-pancoran-mas.html","Hunian Strategis 500 Jutaan Siap Huni, Seberang Tol Sawangan - Pancoran Mas","Limo, Depok","Rp 551.550.000","66","1","2","1","45","yes","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-bernuansa-villa-di-kukusan-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-butuh-2-lantai-full-renovasi-di-sukmajaya-depok.html","Dijual rumah BUTUH 2 lantai full renovasi di Sukmajaya Depok","Jl. H. Japat, Sukmajaya Depok Sukmajaya, Depok","Rp 750.000.000","60","","3","2","100","","yes","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-deket-samping-bandara-pondok-cabe.html","DI JUAL RUMAH DEKET SAMPING BANDARA PONDOK CABE.","Jln darusaadah Cinangka, Depok","Rp 620.000.000","87","1","2","1","45","","","yes","","","",""
"https://www.lamudi.co.id/rumah-murah-depok-deket-tol-cimanggis-akses-cikeas.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-di-gandul-cinere-depok.html","Rumah di Gandul Cinere Depok","Cluste bougenville Gandul, Depok","Rp 1.400.000.000","105","1","3","2","80","yes","","yes","","","",""
"https://www.lamudi.co.id/rumah-cash-terlaris-akses-mobil-masuk-100jt-an-saja-dicitayam.html","RUMAH CASH TERLARIS AKSES MOBIL MASUK 100JT AN SAJA DICITAYAM","Jl.raya nanggerang citayam cipayung Citayam, Depok","Rp 185.000.000","50","1","2","1","36","yes","","yes","","","",""
"https://www.lamudi.co.id/di-jual-rumah-murah-di-citayam-cipayung-depok-jawa-166900250447.html","Di jual rumah murah di citayam cipayung depok jawa barat","Citayam, Depok","Rp 200.000.000","42","","2","1","40","yes","yes","yes","","","",""
