"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_AC","rumah_taman","rumah_keamanan","rumah_balcony","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-impian-2-lantai-lokasi-strategis-kawasan-gdc-166727555234.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-cilodong-depok-lokasi-strategi-166789848447.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cluster-megah-lokasi-pinggir-jalan-tanpa-dp-166755901344.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/tanpa-dp-0-free-biaya-surat2-cukup-3jt-saja-166801626085.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/tanpa-dp-0-hunian-2-lantai-harga-termurah-166912926589.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hadir-dengan-lokasi-terbaik-pinggir-jalan-dengan-a-166725483246.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/resident-cipayung-sutera-167033231164.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/resident-cipayung-asri-167064088547.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/perumahan-cipayung-depok-167157178132.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/depok-alam-resident-167157249325.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-2-lantai-di-tanah-baru-depok-1-4m.html","Dijual Rumah 2 Lantai. di Tanah Baru Depok 1,4M","Tanah Baru, Depok","Rp 1.400.000.000","72","","3","3","115","2","","yes","","","",""
"https://www.lamudi.co.id/hunian-bergaya-scandinavian-10-menit-ke-gate-tol-cinere-mulai-1-2m.html","Hunian Bergaya Scandinavian 10 menit ke Gate Tol Cinere Mulai 1,2M","Limo, Depok","Rp 1.295.000.000","110","","4","3","140","","","","","","",""
"https://www.lamudi.co.id/cluster-town-house-eksklusif-dengan-gaya-urban-tropical-modern-di-sawangan.html","Cluster Townhouse Eksklusif Gaya Urban Tropical Modern di Sawangan","Sawangan, Depok","Rp 695.000.000","123","","3","1","75","","","yes","yes","","",""
"https://www.lamudi.co.id/cluster-3-lt-dengan-rooftop-selangkah-gerbang-tol-sawangan-975-jt.html","Cluster 3 Lt dengan Rooftop, Selangkah Gerbang Tol Sawangan, 975 jt","Pancoran Mas, Depok","Rp 975.000.000","52","","3","3","120","3","","","","","",""
"https://www.lamudi.co.id/promo-hunian-2-lantai-bulan-juni-dp-0.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-greenland-forestpark-residence-167119674425.html","DI JUAL RUMAH DI GREENLAND FORESTPARK RESIDENCE","Bojongsari, Depok","Rp 650.000.000","50","","2","1","72","","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/dijual-rumah-dekat-stasiun-depok-lama-dan-tol-desa-167171047918.html","Dijual Rumah Dekat Stasiun Depok Lama dan Tol Desari Sawangan Barazaki Green Hil","Jalan Sempu Indah, Depok 16442, Indonesia Cipayung, Depok","Rp 465.000.000","84","1","2","2","45","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-2-5-lantai-roftoop-di-depok-166860844933.html","DI JUAL RUMAH 2,5 LANTAI ROFTOOP DI DEPOK","harimurti cimanggis depok Cimanggis, Depok","Rp 1.300.000.000","90","2","3","2","75","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-di-cibubur-depok-dp-10-all-in-167159723918.html","RUMAH DI CIBUBUR DEPOK DP 10 % ALL IN","Jl. Pringgodani Cimanggis, Depok","Rp 976.000.000","56","2","3","2","75","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-hunian-luxurious-house-dengan-fasilitas-leng-16684342223.html","Rumah Hunian Luxurious House Dengan Fasilitas Lengkap Sawangan Depok","Sawangan, Depok","Rp 2.587.000.000","144","2","4","4","185","","yes","yes","yes","yes","yes",""
"https://www.lamudi.co.id/rumah-murah-2-lantai-dekat-kolam-renang-tirta-sari-166946666179.html","Rumah murah 2 Lantai dekat Kolam renang Tirta sari Sukmajaya Depok","Jalan Sukmajaya, Depok 16417, Indonesia Sukmajaya, Depok","Rp 850.000.000","60","2","3","3","80","","yes","","","","",""
"https://www.lamudi.co.id/super-mewah-dp-0-promo-kemerdekaan-free-kpr-165943548811.html","Super mewah Dp 0 promo kemerdekaan free kpr","Pancoran Mas, Depok","Rp 950.000.000","95","","3","3","100","","yes","yes","","yes","",""
"https://www.lamudi.co.id/di-jual-cepat-di-dalam-cluster-exsclusif-167244491977.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/jual-cepat-murah-rumah-cantik-3lt-komplek-banjaran-pucung-kota-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/perumahan-baru-2-lantai-harga-700-jtan-termurah-da-166254167414.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cluster-mewah-di-kalimulya-depok-166582200995.html","Rumah Mewah Ready Siap Huni di kalimulya Depok","Jl TMP kalimulya Depok Kalimulya, Depok","Rp 980.000.000","78","1","3","3","70","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-3-kamar-tidur-lokasi-strategis-166373494955.html","Rumah 2.5 lantai dengan rooftop di depok timur","Sukmajaya, Depok","Rp 698.000.000","30","1","2","2","45","","","yes","yes","","",""
